Ent_Fed,Munic,Parroquia,Total
Estado Táchira,"Táchira, Fernández Feo",Santo Domingo,"9,427"
Estado Táchira,"Táchira, Francisco de Miranda",No tiene parroquia (Capital San José de Bolívar),"4,127"
Estado Táchira,"Táchira, García de Hevia",García de Hevia,"40,544"
Estado Táchira,"Táchira, García de Hevia",Boca de Grita,"2,758"
Estado Táchira,"Táchira, García de Hevia",José Antonio Páez,"5,174"
Estado Táchira,"Táchira, Guásimos",No tiene parroquia (Capital Palmira),"43,236"
Estado Táchira,"Táchira, Independencia",Independencia,"23,368"
Estado Táchira,"Táchira, Independencia",Juan Germán Roscio,"11,110"
Estado Táchira,"Táchira, Independencia",Román Cárdenas,"2,486"
Estado Táchira,"Táchira, Jáuregui",Jáuregui,"34,570"
Estado Táchira,"Táchira, Jáuregui",Emilio Constantino Guerrero,"3,603"
Estado Táchira,"Táchira, Jáuregui",Monseñor Miguel Antonio Salas,"2,827"
Estado Táchira,"Táchira, José María Vargas",No tiene parroquia (Capital El Cobre),"9,879"
Estado Táchira,"Táchira, Junín",Junín,"70,853"
Estado Táchira,"Táchira, Junín",La Petrólea,"2,539"
Estado Táchira,"Táchira, Junín",Quinimarí,"1,425"
Estado Táchira,"Táchira, Junín",Bramón,"5,863"
Estado Táchira,"Táchira, Libertad",Libertad,"13,907"
Estado Táchira,"Táchira, Libertad",Cipriano Castro,"3,453"
Estado Táchira,"Táchira, Libertad",Manuel Felipe Rugeles,"10,187"
Estado Táchira,"Táchira, Libertador",Libertador,"9,417"
Estado Táchira,"Táchira, Libertador",Don Emeterio Ochoa,"5,915"
Estado Táchira,"Táchira, Libertador",Doradas,"4,342"
Estado Táchira,"Táchira, Libertador",San Joaquín de Navay,"2,790"
Estado Táchira,"Táchira, Lobatera",Lobatera,"6,967"
Estado Táchira,"Táchira, Lobatera",Constitución,"6,591"
Estado Táchira,"Táchira, Michelena",No tiene parroquia (Capital Michelena),"19,547"
Estado Táchira,"Táchira, Panamericano",Panamericano,"25,090"
Estado Táchira,"Táchira, Panamericano",La Palmita,"7,090"
Estado Táchira,"Táchira, Pedro María Ureña",Pedro María Ureña,"40,939"
Estado Táchira,"Táchira, Pedro María Ureña",Nueva Arcadia,"10,940"
Estado Táchira,"Táchira, Rafael Urdaneta",No tiene parroquia (Capital Delicias),"5,905"
Estado Táchira,"Táchira, Samuel Darío Maldonado",Samuel Darío Maldonado,"10,434"
Estado Táchira,"Táchira, Samuel Darío Maldonado",Boconó,"3,851"
Estado Táchira,"Táchira, Samuel Darío Maldonado",Hernández,"3,626"
Estado Táchira,"Táchira, San Cristóbal",La Concordia,"94,565"
Estado Táchira,"Táchira, San Cristóbal",Pedro María Morantes,"49,159"
Estado Táchira,"Táchira, San Cristóbal",San Juan Bautista,"96,527"
Estado Táchira,"Táchira, San Cristóbal",San Sebastián,"22,437"
Estado Táchira,"Táchira, San Cristóbal",Dr. Francisco Romero Lobo,"1,077"
Estado Táchira,"Táchira, Seboruco",No tiene parroquia (Capital Seboruco),"10,243"
Estado Táchira,"Táchira, Simón Rodríguez",No tiene parroquia (Capital San Simón),"2,445"
Estado Táchira,"Táchira, Sucre",Sucre,"4,680"
Estado Táchira,"Táchira, Sucre",Eleazar López Contreras,368
Estado Táchira,"Táchira, Sucre",San Pablo,"2,272"
Estado Táchira,"Táchira, Torbes",No tiene parroquia (Capital San Josecito),"49,577"
Estado Táchira,"Táchira, Uribante",Uribante,"12,612"
Estado Táchira,"Táchira, Uribante",Cárdenas,"3,273"
Estado Táchira,"Táchira, Uribante",Juan Pablo Peñaloza,"2,561"
Estado Táchira,"Táchira, Uribante",Potosí,"1,658"
Estado Táchira,"Táchira, San Judas Tadeo",No tiene parroquia (Capital Umuquena),"7,649"
Estado Trujillo,"Trujillo, Andrés Bello",Santa Isabel,"6,091"
Estado Trujillo,"Trujillo, Andrés Bello",Araguaney,"2,006"
Estado Trujillo,"Trujillo, Andrés Bello",El Jagüito,"3,652"
Estado Trujillo,"Trujillo, Andrés Bello",La Esperanza,"2,950"
Estado Trujillo,"Trujillo, Boconó",Boconó,"21,685"
Estado Trujillo,"Trujillo, Boconó",El Carmen,"25,507"
Estado Trujillo,"Trujillo, Boconó",Mosquey,"4,858"
Estado Trujillo,"Trujillo, Boconó",Ayacucho,"2,881"
Estado Trujillo,"Trujillo, Boconó",Burbusay,"3,875"
Estado Trujillo,"Trujillo, Boconó",General Rivas,"4,329"
Estado Trujillo,"Trujillo, Boconó",Guaramacal,"2,062"
Estado Trujillo,"Trujillo, Boconó",Vega de Guaramacal,"2,053"
Estado Trujillo,"Trujillo, Boconó",Monseñor Jáuregui,"4,543"
Estado Trujillo,"Trujillo, Boconó",Rafael Rangel,"3,507"
Estado Trujillo,"Trujillo, Boconó",San Miguel,"3,515"
Estado Trujillo,"Trujillo, Boconó",San José,"4,361"
Estado Trujillo,"Trujillo, Bolívar",Sabana Grande,"7,775"
Estado Trujillo,"Trujillo, Bolívar",Cheregüé,"4,291"
Estado Trujillo,"Trujillo, Bolívar",Granados,"3,219"
Estado Trujillo,"Trujillo, Candelaria",Chejendé,"13,005"
Estado Trujillo,"Trujillo, Candelaria",Arnoldo Gabaldón,"2,597"
Estado Trujillo,"Trujillo, Candelaria",Bolivia,"2,497"
Estado Trujillo,"Trujillo, Candelaria",Carrillo,"1,982"
Estado Trujillo,"Trujillo, Candelaria",Cegarra,"1,131"
Estado Trujillo,"Trujillo, Candelaria",Manuel Salvador Ulloa,"2,428"
Estado Trujillo,"Trujillo, Candelaria",San José,"4,171"
Estado Trujillo,"Trujillo, Carache",Carache,"11,533"
Estado Trujillo,"Trujillo, Carache",Cuicas,"5,042"
Estado Trujillo,"Trujillo, Carache",La Concepción,"5,409"
Estado Trujillo,"Trujillo, Carache",Panamericana,"1,992"
Estado Trujillo,"Trujillo, Carache",Santa Cruz,"3,382"
Estado Trujillo,"Trujillo, Escuque",Escuque,"13,719"
Estado Trujillo,"Trujillo, Escuque",La Unión,"3,168"
Estado Trujillo,"Trujillo, Escuque",Sabana Libre,"7,168"
Estado Trujillo,"Trujillo, Escuque",Santa Rita,"3,073"
Estado Trujillo,"Trujillo, José Felipe Márquez Cañizales",El Socorro,"3,880"
Estado Trujillo,"Trujillo, José Felipe Márquez Cañizales",Antonio José de Sucre,327
Estado Trujillo,"Trujillo, José Felipe Márquez Cañizales",Los Caprichos,344
Estado Trujillo,"Trujillo, Juan Vicente Campo Elías",Campo Elías,"4,223"
Estado Trujillo,"Trujillo, Juan Vicente Campo Elías",Arnoldo Gabaldón,"1,108"
Estado Trujillo,"Trujillo, La Ceiba",Santa Apolonia,"5,548"
Estado Trujillo,"Trujillo, La Ceiba",El Progreso,"5,082"
Estado Trujillo,"Trujillo, La Ceiba",La Ceiba,"2,463"
Estado Trujillo,"Trujillo, La Ceiba",Tres de Febrero,"5,938"
Estado Trujillo,"Trujillo, Miranda",El Dividive,"10,838"
Estado Trujillo,"Trujillo, Miranda",Agua Santa,"5,346"
Estado Trujillo,"Trujillo, Miranda",Agua Caliente,"1,858"
Estado Trujillo,"Trujillo, Miranda",El Cenizo,"2,551"
Estado Trujillo,"Trujillo, Miranda",Valerita,712
Estado Trujillo,"Trujillo, Monte Carmelo",Monte Carmelo,"6,002"
Estado Trujillo,"Trujillo, Monte Carmelo",Buena Vista,"6,543"
Estado Trujillo,"Trujillo, Monte Carmelo",Santa María del Horcón,61
Estado Trujillo,"Trujillo, Motatán",Motatán,"11,879"
Estado Trujillo,"Trujillo, Motatán",El Baño,"1,995"
Estado Trujillo,"Trujillo, Motatán",Jalisco,"5,903"
Estado Trujillo,"Trujillo, Pampán",Pampán,"8,934"
Estado Trujillo,"Trujillo, Pampán",Flor de Patria,"12,678"
Estado Trujillo,"Trujillo, Pampán",La Paz,"18,344"
Estado Trujillo,"Trujillo, Pampán",Santa Ana,"7,593"
Estado Trujillo,"Trujillo, Pampanito",Pampanito,"12,855"
Estado Trujillo,"Trujillo, Pampanito",La Concepción,"5,434"
Estado Trujillo,"Trujillo, Pampanito",Pampanito II,"10,232"
Estado Trujillo,"Trujillo, Rafael Rangel",Betijoque,"5,243"
Estado Trujillo,"Trujillo, Rafael Rangel",La Pueblita,"7,012"
Estado Trujillo,"Trujillo, Rafael Rangel",Los Cedros,"3,695"
Estado Trujillo,"Trujillo, Rafael Rangel",José Gregorio Hernández,"6,203"
Estado Trujillo,"Trujillo, San Rafael de Carvajal",Carvajal,"18,626"
Estado Trujillo,"Trujillo, San Rafael de Carvajal",Antonio Nicolás Briceño,"14,239"
Estado Trujillo,"Trujillo, San Rafael de Carvajal",Campo Alegre,"11,321"
Estado Trujillo,"Trujillo, San Rafael de Carvajal",José Leonardo Suárez,"11,223"
Estado Trujillo,"Trujillo, Sucre",Sabana de Mendoza,"9,525"
Estado Trujillo,"Trujillo, Sucre",El Paraíso,"2,101"
Estado Trujillo,"Trujillo, Sucre",Junín,"4,534"
Estado Trujillo,"Trujillo, Sucre",Valmore Rodríguez,"14,555"
Estado Trujillo,"Trujillo, Trujillo",Andrés Linares,"3,459"
Estado Trujillo,"Trujillo, Trujillo",Chiquinquirá,"8,531"
Estado Trujillo,"Trujillo, Trujillo",Cristóbal Mendoza,"15,443"
Estado Trujillo,"Trujillo, Trujillo",Cruz Carrillo,"4,143"
Estado Trujillo,"Trujillo, Trujillo",Matriz,"11,363"
Estado Trujillo,"Trujillo, Trujillo",Monseñor Carrillo,"5,593"
Estado Trujillo,"Trujillo, Trujillo",Tres Esquinas,"5,681"
Estado Trujillo,"Trujillo, Urdaneta",La Quebrada,"6,952"
Estado Trujillo,"Trujillo, Urdaneta",Cabimbú,"2,837"
Estado Trujillo,"Trujillo, Urdaneta",Jajó,"6,031"
Estado Trujillo,"Trujillo, Urdaneta",La Mesa,"8,785"
Estado Trujillo,"Trujillo, Urdaneta",Santiago,"4,484"
Estado Trujillo,"Trujillo, Urdaneta",Tuñame,"4,531"
Estado Trujillo,"Trujillo, Valera",Juan Ignacio Montilla,"23,449"
Estado Trujillo,"Trujillo, Valera",La Beatriz,"14,489"
Estado Trujillo,"Trujillo, Valera",Mercedes Díaz,"60,226"
Estado Trujillo,"Trujillo, Valera",San Luis,"16,473"
Estado Trujillo,"Trujillo, Valera",La Puerta,"10,781"
Estado Trujillo,"Trujillo, Valera",Mendoza,"10,711"
Estado Yaracuy,"Yaracuy, Arístides Bastidas",No tiene parroquia (Capital San Pablo),"20,485"
Estado Yaracuy,"Yaracuy, Bolívar",No tiene parroquia (Capital Aroa),"31,185"
Estado Yaracuy,"Yaracuy, Bruzual",Capital Bruzual,"56,803"
Estado Yaracuy,"Yaracuy, Bruzual",Campo Elías,"12,929"
Estado Yaracuy,"Yaracuy, Cocorote",No tiene parroquia (Capital Cocorote),"41,481"
Estado Yaracuy,"Yaracuy, Independencia",No tiene parroquia (Capital Independencia),"57,811"
Estado Yaracuy,"Yaracuy, José Antonio Páez",No tiene parroquia (Capital Sabana de Parra),"19,673"
Estado Yaracuy,"Yaracuy, La Trinidad",No tiene parroquia (Capital Boraure),"17,200"
Estado Yaracuy,"Yaracuy, Manuel Monge",No tiene parroquia (Capital Yumare),"13,180"
Estado Yaracuy,"Yaracuy, Nirgua",Capital Nirgua,"44,575"
Estado Yaracuy,"Yaracuy, Nirgua",Salom,"11,818"
Estado Yaracuy,"Yaracuy, Nirgua",Temerla,"2,539"
Estado Yaracuy,"Yaracuy, Peña",Capital Peña,"91,988"
Estado Yaracuy,"Yaracuy, Peña",San Andrés,"9,632"
Estado Yaracuy,"Yaracuy, San Felipe",Capital San Felipe,"52,931"
Estado Yaracuy,"Yaracuy, San Felipe",Albarico,"34,704"
Estado Yaracuy,"Yaracuy, San Felipe",San Javier,"13,124"
Estado Yaracuy,"Yaracuy, Sucre",No tiene parroquia (Capital Guama),"18,988"
Estado Yaracuy,"Yaracuy, Urachiche",No tiene parroquia (Capital Urachiche),"21,966"
Estado Yaracuy,"Yaracuy, Veroes",Capital Veroes,"11,214"
Estado Yaracuy,"Yaracuy, Veroes",El Guayabo,"16,626"
Estado Zulia,"Zulia, Almirante Padilla",Isla de Toas,"7,678"
Estado Zulia,"Zulia, Almirante Padilla",Monagas,"4,251"
Estado Zulia,"Zulia, Baralt",San Timoteo,"5,667"
Estado Zulia,"Zulia, Baralt",General Urdaneta,"14,037"
Estado Zulia,"Zulia, Baralt",Libertador,"21,747"
Estado Zulia,"Zulia, Baralt",Manuel Guanipa Matos,"12,937"
Estado Zulia,"Zulia, Baralt",Marcelino Briceño,"5,931"
Estado Zulia,"Zulia, Baralt",Pueblo Nuevo,"29,528"
Estado Zulia,"Zulia, Cabimas",Ambrosio,"39,153"
Estado Zulia,"Zulia, Cabimas",Carmen Herrera,"23,686"
Estado Zulia,"Zulia, Cabimas",Germán Ríos Linares,"45,019"
Estado Zulia,"Zulia, Cabimas",La Rosa,"23,456"
Estado Zulia,"Zulia, Cabimas",Jorge Hernández,"54,578"
Estado Zulia,"Zulia, Cabimas",Rómulo Betancourt,"29,839"
Estado Zulia,"Zulia, Cabimas",San Benito,"29,747"
Estado Zulia,"Zulia, Cabimas",Arístides Calvani,"5,336"
Estado Zulia,"Zulia, Cabimas",Punta Gorda,"12,242"
Estado Zulia,"Zulia, Catatumbo",Encontrados,"22,663"
Estado Zulia,"Zulia, Catatumbo",Udón Pérez,"18,039"
Estado Zulia,"Zulia, Colón",San Carlos del Zulia,"18,663"
Estado Zulia,"Zulia, Colón",Moralito,"24,223"
Estado Zulia,"Zulia, Colón",Santa Bárbara,"59,119"
Estado Zulia,"Zulia, Colón",Santa Cruz del Zulia,"11,326"
Estado Zulia,"Zulia, Colón",Urribarri,"15,398"
Estado Zulia,"Zulia, Francisco Javier Pulgar",Simón Rodríguez,"18,156"
Estado Zulia,"Zulia, Francisco Javier Pulgar",Carlos Quevedo,"9,696"
Estado Zulia,"Zulia, Francisco Javier Pulgar",Francisco Javier Pulgar,"4,764"
Estado Zulia,"Zulia, Francisco Javier Pulgar",Agustín Codazzi,"1,326"
Estado Zulia,"Zulia, Jesús Enrique Lossada",La Concepción,"69,284"
Estado Zulia,"Zulia, Jesús Enrique Lossada",José Ramón Yepes,"25,372"
Estado Zulia,"Zulia, Jesús Enrique Lossada",Mariano Parra León,"9,522"
Estado Zulia,"Zulia, Jesús Enrique Lossada",San José,"14,578"
Estado Zulia,"Zulia, Jesús María Semprún",Jesús María Semprún,"20,049"
Estado Zulia,"Zulia, Jesús María Semprún",Barí,"10,435"
Estado Zulia,"Zulia, La Cañada de Urdaneta",Concepción,"35,794"
Estado Zulia,"Zulia, La Cañada de Urdaneta",Andrés Bello,"11,189"
Estado Zulia,"Zulia, La Cañada de Urdaneta",Chiquinquirá,"14,724"
Estado Zulia,"Zulia, La Cañada de Urdaneta",El Carmelo,"11,124"
Estado Zulia,"Zulia, La Cañada de Urdaneta",Potreritos,"9,379"
Estado Zulia,"Zulia, Lagunillas",Alonso de Ojeda,"85,482"
Estado Zulia,"Zulia, Lagunillas",Libertad,"52,732"
Estado Zulia,"Zulia, Lagunillas",Campo Lara,"5,775"
Estado Zulia,"Zulia, Lagunillas",Eleazar López Contreras,"3,733"
Estado Zulia,"Zulia, Lagunillas",Venezuela,"28,797"
Estado Zulia,"Zulia, Lagunillas",El Danto,"26,916"
Estado Zulia,"Zulia, Machiques de Perijá",Libertad,"78,115"
Estado Zulia,"Zulia, Machiques de Perijá",Bartolomé de las Casas,"14,856"
Estado Zulia,"Zulia, Machiques de Perijá",Río Negro,"9,940"
Estado Zulia,"Zulia, Machiques de Perijá",San José de Perijá,"19,823"
Estado Zulia,"Zulia, Mara",San Rafael,"50,318"
Estado Zulia,"Zulia, Mara",La Sierrita,"45,227"
Estado Zulia,"Zulia, Mara",Las Parcelas,"16,288"
Estado Zulia,"Zulia, Mara",Luis de Vicente,"19,652"
Estado Zulia,"Zulia, Mara",Monseñor Marcos Sergio Godoy,"4,326"
Estado Zulia,"Zulia, Mara",Ricaurte,"63,093"
Estado Zulia,"Zulia, Mara",Tamare,"8,317"
Estado Zulia,"Zulia, Maracaibo",Antonio Borjas Romero,"93,883"
Estado Zulia,"Zulia, Maracaibo",Bolívar,"19,248"
Estado Zulia,"Zulia, Maracaibo",Cacique Mara,"64,883"
Estado Zulia,"Zulia, Maracaibo",Caracciolo Parra Pérez,"42,011"
Estado Zulia,"Zulia, Maracaibo",Cecilio Acosta,"56,447"
Estado Zulia,"Zulia, Maracaibo",Cristo de Aranza,"99,678"
Estado Zulia,"Zulia, Maracaibo",Coquivacoa,"82,945"
Estado Zulia,"Zulia, Maracaibo",Chiquinquirá,"55,364"
Estado Zulia,"Zulia, Maracaibo",Francisco Eugenio Bustamante,"222,797"
Estado Zulia,"Zulia, Maracaibo",Idelfonso Vásquez,"152,379"
Estado Zulia,"Zulia, Maracaibo",Juana de Ávila,"72,676"
Estado Zulia,"Zulia, Maracaibo",Luis Hurtado Higuera,"73,600"
Estado Zulia,"Zulia, Maracaibo",Manuel Dagnino,"84,895"
Estado Zulia,"Zulia, Maracaibo",Olegario Villalobos,"80,556"
Estado Zulia,"Zulia, Maracaibo",Raúl Leoni,"71,484"
Estado Zulia,"Zulia, Maracaibo",Santa Lucía,"31,895"
Estado Zulia,"Zulia, Maracaibo",Venancio Pulgar,"116,724"
Estado Zulia,"Zulia, Maracaibo",San Isidro,"37,983"
Estado Zulia,"Zulia, Miranda",Altagracia,"39,152"
Estado Zulia,"Zulia, Miranda",Ana María Campos,"8,012"
Estado Zulia,"Zulia, Miranda",Faría,"4,909"
Estado Zulia,"Zulia, Miranda",San Antonio,"11,640"
Estado Zulia,"Zulia, Miranda",San José,"18,772"
Estado Zulia,"Zulia, Miranda",José Antonio Chaves,"14,978"
Estado Zulia,"Zulia, Indígena Bolivariano Guajira",Sinamaica,"13,951"
Estado Zulia,"Zulia, Indígena Bolivariano Guajira",Alta Guajira,"4,050"
Estado Zulia,"Zulia, Indígena Bolivariano Guajira",Elías Sánchez Rubio,"8,526"
Estado Zulia,"Zulia, Indígena Bolivariano Guajira",Guajira,"39,018"
Estado Zulia,"Zulia, Rosario de Perijá",El Rosario,"70,471"
Estado Zulia,"Zulia, Rosario de Perijá",Donaldo García,"6,318"
Estado Zulia,"Zulia, Rosario de Perijá",Sixto Zambrano,"8,217"
Estado Zulia,"Zulia, San Francisco",San Francisco,"126,852"
Estado Zulia,"Zulia, San Francisco",El Bajo,"18,554"
Estado Zulia,"Zulia, San Francisco",Domitila Flores,"124,247"
Estado Zulia,"Zulia, San Francisco",Francisco Ochoa,"49,088"
Estado Zulia,"Zulia, San Francisco",Los Cortijos,"32,197"
Estado Zulia,"Zulia, San Francisco",Marcial Hernández,"33,248"
Estado Zulia,"Zulia, San Francisco",José Domingo Rus,"62,571"
Estado Zulia,"Zulia, Santa Rita",Santa Rita,"35,808"
Estado Zulia,"Zulia, Santa Rita",El Mene,"5,971"
Estado Zulia,"Zulia, Santa Rita",José Cenovio Urribarri,"15,136"
Estado Zulia,"Zulia, Santa Rita",Pedro Lucas Urribarri,"2,951"
Estado Zulia,"Zulia, Simón Bolívar",Manuel Manrique,"21,002"
Estado Zulia,"Zulia, Simón Bolívar",Rafael María Baralt,"17,336"
Estado Zulia,"Zulia, Simón Bolívar",Rafael Urdaneta,"5,493"
Estado Zulia,"Zulia, Sucre",Bobures,"5,264"
Estado Zulia,"Zulia, Sucre",El Batey,"7,211"
Estado Zulia,"Zulia, Sucre",Gibraltar,"7,942"
Estado Zulia,"Zulia, Sucre",Heras,"4,350"
Estado Zulia,"Zulia, Sucre",Monseñor Arturo Celestino Álvarez,"7,310"
Estado Zulia,"Zulia, Sucre",Rómulo Gallegos,"28,742"
Estado Zulia,"Zulia, Valmore Rodríguez",La Victoria,"26,586"
Estado Zulia,"Zulia, Valmore Rodríguez",Rafael Urdaneta,"11,178"
Estado Zulia,"Zulia, Valmore Rodríguez",Raúl Cuenca,"14,860"
Estado Vargas,"Vargas, Vargas",Caraballeda,"48,622"
Estado Vargas,"Vargas, Vargas",Carayaca,"41,075"
Estado Vargas,"Vargas, Vargas",Caruao,"5,925"
Estado Vargas,"Vargas, Vargas",Catia La Mar,"85,366"
Estado Vargas,"Vargas, Vargas",El Junko,"4,128"
Estado Vargas,"Vargas, Vargas",La Guaira,"19,162"
Estado Vargas,"Vargas, Vargas",Macuto,"20,033"
Estado Vargas,"Vargas, Vargas",Maiquetía,"31,657"
Estado Vargas,"Vargas, Vargas",Naiguatá,"17,877"
Estado Vargas,"Vargas, Vargas",Urimare,"48,550"
Estado Vargas,"Vargas, Vargas",Carlos Soublette,"30,525"
Dependencias Federales,"Dependencias federales, Dependencias federales",Gran Roque,"1,471"
Dependencias Federales,"Dependencias federales, Dependencias federales",Los Testigos,172
Dependencias Federales,"Dependencias federales, Dependencias federales",Chimanas,512
